date,title,subtitle,url,slug,audience,word_count,auth_ok,is_paywalled,error
2026-05-19,"Whitepaper, Hoy",Tesla en México; Rane Madras; Yave y Klar; Cheaf; Concha y Toro; qomplement; Salomon y Arc'teryx; vacantes en las Big Four; TrumpRX; los boletos del Mundial,https://www.whitepaper.mx/p/whitepaper-hoy-6b5,whitepaper-hoy-6b5,only_paid,1142,True,False,
2026-05-18,"Whitepaper, Hoy",100 agencias de BYD; Zoomlion en Aguascalientes; en los aeropuertos; depósitos en neobancos; movimientos clave; Alfa Wipes; motos eléctricas; Everlane y Shein; Swatch y AP; el crecimiento de 7 Brew,https://www.whitepaper.mx/p/whitepaper-hoy-246,whitepaper-hoy-246,only_paid,1499,True,False,
2026-05-15,"Whitepaper, Hoy",Resultados Nu; Magnicharters; conoce a Luana Lopes Lara; persiguiendo a los Uber; Click Technology en Torreón; CIE Automotive; NetPay; Toyota en San Antonio; acciones de Ford; family offices,https://www.whitepaper.mx/p/whitepaper-hoy-313,whitepaper-hoy-313,only_paid,1303,True,False,
2026-05-14,"Whitepaper, Hoy","CIE y el Autódromo; el neobanco de Holanda; Holcim; ¿Le conviene a un país organizar un mundial?; Decathlon, Authentic Brands y Mercado Libre; Honda y Mazda, dark stores de Walmart; agentes de viaje",https://www.whitepaper.mx/p/whitepaper-hoy-ebf,whitepaper-hoy-ebf,only_paid,1533,True,False,
2026-05-13,"Whitepaper, Hoy",La planta de American Woodmark; Betterware; grupos hoteleros; BAL Ventures; NutriADN; resultados de Natura; Crumbl Cookies; robotaxis en China; descuentos en MBAs; spotlight en Goop Kitchen,https://www.whitepaper.mx/p/whitepaper-hoy-08b,whitepaper-hoy-08b,only_paid,1377,True,False,
2026-05-12,"Whitepaper, Hoy","Lo que ha invertido Netflix; las marcas de Sigma; Monster Energy; entrevista a Fabián Morales, CFO de Miniso; Mondelēz en México; Alkemio; 'battery swap'; Amazon Now; crece Mixue",https://www.whitepaper.mx/p/whitepaper-hoy-581,whitepaper-hoy-581,only_paid,1275,True,False,
2026-05-11,"Whitepaper, Hoy",Ingredientes farmacéuticos en Hidalgo; Afirme Seguros y HDI; Palenca; movimientos clave;  Peluchería Internacional; Televisa; empleados de OpenAI; mexicanos en Orlando; Globant; la nueva meme stock,https://www.whitepaper.mx/p/whitepaper-hoy-c16,whitepaper-hoy-c16,only_paid,1486,True,False,
2026-05-08,"Whitepaper, Hoy",Resultados de Mercado Libre; Seiren Viscotec en Guanajuato; Tiendas 3B; conoce a Rocío Palafox; Cablevisión; tiendas de Carter's; tenis de Coach; Trump's Gold Card; IPO de Lime; ribeyes en Temu,https://www.whitepaper.mx/p/whitepaper-hoy-981,whitepaper-hoy-981,only_paid,1196,True,False,
2026-05-07,"Whitepaper, Hoy",Alsea en España; Grupo Kampai; BBVA Spark y Nasdaq; SharkNinja en México; la evolución de Bitso; naves industriales; 80x de Anthropic; propiedades en Los Cabos; SoftBank vs Berkshire,https://www.whitepaper.mx/p/whitepaper-hoy-a06,whitepaper-hoy-a06,only_paid,1433,True,False,
2026-05-06,"Whitepaper, Hoy",La ronda de Sofía; Bimbo en EUA; Grupo México; remesas; Elis en México; ASML; la nueva planta de SpaceX; short sellers en Nike; Don Julio Blanco; podcasts de Vox Media; spotlight en Kemo Sabe,https://www.whitepaper.mx/p/whitepaper-hoy-071,whitepaper-hoy-071,only_paid,1369,True,False,
2026-05-05,"Whitepaper, Hoy","AB InBev; mexicanos en la bolsa española; Red Ambiental; Gruma, Cultiba, Gigante, dmX; la evolución de Ramos Arizpe; interesados en BIVA; Heritage Auctions; Geely; la entrevista a Ryan Cohen",https://www.whitepaper.mx/p/whitepaper-hoy-3ea,whitepaper-hoy-3ea,only_paid,1532,True,False,
2026-05-04,"Whitepaper, Hoy",Oxxo México; entrevista al CEO de Philip Morris; movimientos clave; Benavides y GLP-1; Glisco en Carolina del Sur; BlackBerry; podcasts y AI; La Once Mil va a Madrid; el impacto de los elevadores,https://www.whitepaper.mx/p/whitepaper-hoy-d77,whitepaper-hoy-d77,only_paid,1224,True,False,
2026-04-30,"Whitepaper, Hoy","Bimbo y GBM, presumiendo récords; la nueva SPAC; cambio en Softtek; VCs en LATAM; H-E-B; TelevisaUnivision; oficinas en NYC; prediction markets; Target en Houston; GLP-1 vs AI; TikTok Shops",https://www.whitepaper.mx/p/whitepaper-hoy-a8b,whitepaper-hoy-a8b,only_paid,1335,True,False,
2026-04-29,"Whitepaper, Hoy",SIG en Querétaro; regalías para artistas; Liverpool y Elektra; salchichas de Sigma; Kleva; utilidades de Visa; lo que pagaron por el buró; suscriptores de ChatGPT Go; Garmin; spotlight en Jellycat,https://www.whitepaper.mx/p/whitepaper-hoy-9f9,whitepaper-hoy-9f9,only_paid,1458,True,True,
2026-04-28,"Whitepaper, Hoy",Resultados de Lala; ventas mismas-tiendas en supermercados; Soriana; Grupo México y Saavi Energía; parques industriales; Ammper; Pizza Hut; Honqi en España; creadores de contenido; AI,https://www.whitepaper.mx/p/whitepaper-hoy-d44,whitepaper-hoy-d44,only_paid,1243,True,False,
2026-04-27,"Whitepaper, Hoy",Walmex y Walmart; Givaudan en Querétaro; Café la Flor de Córdoba; movimientos clave; resultados de Bosch; fees de banqueros; acciones de Adidas; Spotify; Oprah y Amazon; guaruras en Silicon Valley,https://www.whitepaper.mx/p/whitepaper-hoy-b8c,whitepaper-hoy-b8c,only_paid,1156,True,False,
2026-04-24,"Whitepaper, Hoy","Las regias y sus 'récords'; Hortifrut; conoce a Samantha Guzmán; Pinfra, Kimberly Clark; excluyendo las consecuencias de AI; Meta, Nike, Microsoft, EY y KPMG; Sphere; L Catterton; podcasts",https://www.whitepaper.mx/p/whitepaper-hoy-d80,whitepaper-hoy-d80,only_paid,1276,True,False,
2026-04-23,"Whitepaper, Hoy","Cemex; nuevo CEO de Banamex; Aeroméxico; Bimbo en Dallas; derechos de transmisión de la Selección Mexicana; Siemens, ZF Group y Hansa Flex; Kuo; América Móvil; MBaer Merchant Bank; Walmart",https://www.whitepaper.mx/p/whitepaper-hoy-fdf,whitepaper-hoy-fdf,only_paid,1771,True,False,
2026-04-22,"Whitepaper, Hoy",Cementos Chihuahua; el Atlas; acciones de MeLi; Fantasías Miguel; Dalus y Pulpo; faltan sastres en EUA...y allá también quieren autos de China; Amazon y GLP-1; AI en juicios; spotlight en Strathberry,https://www.whitepaper.mx/p/whitepaper-hoy-5ec,whitepaper-hoy-5ec,only_paid,1517,True,True,
2026-04-21,"Whitepaper, Hoy",Avances de GAP; exportaciones; lenguas de gato; Grupo Posadas; el pivot de Kredi; Grupo Acerero; mezcal; el relevo en Apple; psicodélicos; estimaciones de utilidades; fuentes de información,https://www.whitepaper.mx/p/whitepaper-hoy-fcc,whitepaper-hoy-fcc,only_paid,1498,True,False,
2026-04-20,"Whitepaper, Hoy","GICSA; Yinlun TDI; el consejo de Gentera; Kering y Lululemon en México; movimientos clave; Thermomix, Rainbow y Kangen Water; baterías Tesla; refunds de aranceles; Vox Media; merch de CEOs",https://www.whitepaper.mx/p/whitepaper-hoy-dca,whitepaper-hoy-dca,only_paid,1394,True,False,
2026-04-17,"Whitepaper, Hoy",Los data centers de Flex; Oxxo en Colombia; Conoce a Mildred Villegas; abogados en México y sus LLMs; exportaciones de mango; Ford y los autos de China; Johnson Controls; OnlyFans; Gatorade; revistas,https://www.whitepaper.mx/p/whitepaper-hoy-912,whitepaper-hoy-912,only_paid,1169,True,False,
2026-04-16,"Whitepaper, Hoy",La ropa en Coppel; Conagra Brands; Plata; pick-ups de Nissan; emisiones de deuda; Page Group; el cliente de las Cyber; Hertha Metals; AI y fast food; la situación en Aston Martin; el pivot de Allbirds,https://www.whitepaper.mx/p/whitepaper-hoy-165,whitepaper-hoy-165,only_paid,1173,True,False,
2026-04-15,"Whitepaper, Hoy",DH Autoware; el C-Suite de Mattel; Grupalia; las motos de Grupo Salinas; bodegas self-storage; café; Ralph Lauren y Coach; hoteles y el Mundial; el fraude de eFishery; spotlight en Sanlorenzo Yachts,https://www.whitepaper.mx/p/whitepaper-hoy-46c,whitepaper-hoy-46c,only_paid,1599,True,False,
2026-04-14,"Whitepaper, Hoy","Vidanta en el Mediterráneo; Herdez y sus helados; Nifco en NL; té Izlah; tarjetas con límite de más de $60,000; el plan de Nissan; Amazon vs Starlink; catálogos; la casa del CEO de TelevisaUnivision",https://www.whitepaper.mx/p/whitepaper-hoy-faa,whitepaper-hoy-faa,only_paid,1535,True,False,
2026-04-13,"Whitepaper, Hoy",Thyssenkrupp y Aceroteca Trading; Laureate; Ginequito y Azura; las inversiones de Home Depot en México; movimientos clave; volatilidad; sin lavaplatos; bagels de $300M; Kodak; The Audacity,https://www.whitepaper.mx/p/whitepaper-hoy-19e,whitepaper-hoy-19e,only_paid,1536,True,False,
2026-04-10,"Whitepaper, Hoy",VC en LATAM; Bupa en México; la planta de Constellation; conoce a Jimena González de Cossío; Dentalia; San Miguel de Allende; SpaceX; Unilever y Grüns; publicidad en ChatGPT; jets en Augusta,https://www.whitepaper.mx/p/whitepaper-hoy-9c6,whitepaper-hoy-9c6,only_paid,1135,True,False,
2026-04-09,"Whitepaper, Hoy","Un buen día para la bolsa; el Tío Richie; Zoetis; la supuesta planta de GAC; Topsun en Guanajuato; ligas deportivas online; tráfico en aeropuertos; comida para instagram; Avis, Uniqlo; GLP-1",https://www.whitepaper.mx/p/whitepaper-hoy-405,whitepaper-hoy-405,only_paid,1756,True,False,
2026-04-08,"Whitepaper, Hoy","Yazaki y SKF en NL; Bafar y Ciemsa Foodservice; Telefónica; La entrevista al CFO -Ana Yañez, de Actinver; Avocados from Mexico; Las Vegas; Satellites on Fire; Levi's; US Navy; spotlight en Bloom",https://www.whitepaper.mx/p/whitepaper-hoy-05f,whitepaper-hoy-05f,only_paid,1893,True,False,
2026-04-07,"Whitepaper, Hoy",Miniso; crédito de China; Hershey’s; la opinión de Juan Carlos Calderón; Wyndham; autos nuevos en México (y seminuevos en EUA); edificios en oferta; resultados Samsung; Universal Music; Chick-fil-A,https://www.whitepaper.mx/p/whitepaper-hoy-28a,whitepaper-hoy-28a,only_paid,1619,True,False,
2026-04-06,"Whitepaper, Hoy",Fastenal; exportaciones de Jalisco; ventas por m2; Café Azúcar Morena; movimientos clave; MSSC MFG Mexicana; Medvi; jóvenes emprendedores; vibe coding; TBPN y OpenAI,https://www.whitepaper.mx/p/whitepaper-hoy-379,whitepaper-hoy-379,only_paid,1389,True,False,
2026-04-01,"Whitepaper, Hoy",Fibra Danhos; Churrerías Porfirio; resultados Cydsa; Park Life; los Burger King de GES; Trox en Puebla; turismo veterinario; ¿crédito de TikTok?; Geely y Volvo; spotlight en Blank Street Coffee,https://www.whitepaper.mx/p/whitepaper-hoy-2ac,whitepaper-hoy-2ac,only_paid,1469,True,False,
2026-03-31,"Whitepaper, Hoy",PepsiCo; e-commerce en México; El consejo de Lamosa; Flowserve; zapatos en México; Instagram; Whoop; McCormick y Unilever; Allbirds; influencers y creadores de contenido,https://www.whitepaper.mx/p/whitepaper-hoy-10b,whitepaper-hoy-10b,only_paid,1288,True,False,
2026-03-30,"Whitepaper, Hoy","Bimbo en El Salvador; Femsa y sus más de 33,000 tiendas; Grupo Elektra; movimientos clave; Auntie Anne’s; stablecoins; Sysco y Jetro; Infiniti en EUA; Nestlé; Whoop; Arc’teryx",https://www.whitepaper.mx/p/whitepaper-hoy-2c2,whitepaper-hoy-2c2,only_paid,1280,True,False,
2026-03-27,"Whitepaper, Hoy",Camiones; acuerdos Volaris-Viva; BlackRock Latin American Investment Trust; se va EnerSys; conoce a Véronique Billia; autopartes; el data center en El Paso; Pernod Ricard y Brown-Forman; Big food,https://www.whitepaper.mx/p/whitepaper-hoy-7ad,whitepaper-hoy-7ad,only_paid,1339,True,False,
2026-03-26,"Whitepaper, Hoy",Walmart Connect; Caliente; la compra #24 de Aguafría; del FC Barcelona al América; Entre negocios y deportes -estudios de fitness; Helvex; BackChannel; bodegas refrigeradas; fast food vs conveniencia,https://www.whitepaper.mx/p/whitepaper-hoy-579,whitepaper-hoy-579,only_paid,1454,True,False,
